Duct Crawler,Stronghold,8,0,0.00
Dungeon Shade,Stronghold,7,0,0.00
Duplicity,Tempest,1,0,0.00
Duress,Urza's Saga,2,0,0.00
Durkwood Boars,Fourth Edition,2,0,0.00
Duskrider Falcon,Weatherlight,6,0,0.00
Dwarven Berserker,Weatherlight,7,0,0.00
Dwarven Miner,Mirage,1,0,0.00
Dwarven Nomad,Mirage,1,0,0.00
Dwarven Soldier (Asplund-Faith),Fallen Empires,1,0,0.00
Dwarven Trader (A),Homelands,2,0,0.00
Dwarven Vigilantes,Visions,6,0,0.00
Dwarven Warriors,Fifth Edition,1,0,0.00
Early Harvest,Mirage,1,0,0.00
Earthbind,Revised Edition,2,0,0.00
Earthcraft,Tempest,1,0,0.00
Earthlore,Ice Age,1,0,0.00
Eastern Paladin,Urza's Saga,1,0,0.00
Ebony Charm,Mirage,4,0,0.00
Echo Chamber,Tempest,1,0,0.00
Ekundu Cyclops,Mirage,7,0,0.00
Ekundu Griffin,Mirage,3,0,0.00
Eladamri's Vineyard,Tempest,1,0,0.00
"Eladamri, Lord of Leaves",Tempest,1,0,0.00
Electric Eel,The Dark,1,0,0.00
Electryte,Urza's Saga,1,0,0.00
Elite Archers,Urza's Saga,1,0,0.00
Elite Cat Warrior (A),Portal,5,0,0.00
Elite Javelineer,Tempest,4,0,0.00
Elixir of Vitality,Mirage,1,0,0.00
Elven Cache,Portal,1,0,0.00
Elven Cache,Visions,5,0,0.00
Elven Palisade,Exodus,2,0,0.00
Elven Rite,Stronghold,4,0,0.00
Elven Warhounds,Tempest,1,0,0.00
Elvish Berserker,Exodus,7,0,0.00
Elvish Fury,Tempest,1,0,0.00
Elvish Healer,Ice Age,1,0,0.00
Elvish Herder,Urza's Saga,1,0,0.00
Elvish Lyrist,Urza's Saga,1,0,0.00
Elvish Ranger (B),Alliances,1,0,0.00
Elvish Ranger,Portal,6,0,0.00
Emberwilde Caliph,Mirage,1,0,0.00
Emberwilde Djinn,Mirage,1,0,0.00
Emerald Charm,Visions,7,0,0.00
Emerald Medallion,Tempest,1,0,0.00
Emmessi Tome,Tempest,1,0,0.00
Empyrial Armor,Weatherlight,2,0,0.00
Enchantment Alteration,Urza's Saga,1,0,0.00
Endangered Armodon,Stronghold,4,0,0.00
Endless Cockroaches,Portal,1,0,0.00
Endless Scream,Tempest,2,0,0.00
Endless Wurm,Urza's Saga,1,0,0.00
Endoskeleton,Urza's Saga,1,0,0.00
Energizer,Tempest,1,0,0.00
Energy Arc,Alliances,1,0,0.00
Energy Bolt,Mirage,1,0,0.00
Energy Field,Urza's Saga,1,0,0.00
Energy Tap,Fourth Edition,1,0,0.00
Energy Vortex,Mirage,1,0,0.00
Enervate,Fifth Edition,1,0,0.00
Enfeeblement,Mirage,3,0,0.00
Enfeeblement,Tempest,2,0,0.00
Enlightened Tutor,Mirage,1,0,0.00
Enraging Licid,Tempest,1,0,0.00
Enslaved Scout (A),Alliances,1,0,0.00
Enslaved Scout (B),Alliances,1,0,0.00
Ensnaring Bridge,Stronghold,1,0,0.00
Entropic Specter,Exodus,1,0,0.00
Ephemeron,Exodus,1,0,0.00
Equilibrium,Exodus,1,0,0.00
Erg Raiders,Fourth Edition,1,0,0.00
Erosion,Fourth Edition,1,0,0.00
Errand of Duty (A),Alliances,1,0,0.00
Errant Minion,Ice Age,1,0,0.00
Erratic Portal,Exodus,1,0,0.00
Ersatz Gnomes,Mirage,1,0,0.00
Ertai's Meddling,Tempest,1,0,0.00
"Ertai, Wizard Adept",Exodus,1,0,0.00
Escaped Shapeshifter,Tempest,1,0,0.00
Essence Bottle,Tempest,1,0,0.00
Eternal Warrior,Fourth Edition,1,0,0.00
Ether Well,Mirage,2,0,0.00
Ethereal Champion,Mirage,1,0,0.00
Evacuation,Stronghold,1,0,0.00
Evincar's Justice,Tempest,4,0,0.00
Exalted Dragon,Exodus,1,0,0.00
Excavator,Tempest,1,0,0.00
Exhaustion,Portal,1,0,0.00
Exhaustion,Urza's Saga,1,0,0.00
Exhume,Urza's Saga,3,0,0.00
Exploration,Urza's Saga,1,0,0.00
Expunge,Urza's Saga,1,0,0.00
Extinction,Tempest,1,0,0.00
Fade Away,Exodus,9,0,0.00
Faith Healer,Urza's Saga,1,0,0.00
Faith's Fetters,Ravnica: City of Guilds,4,0,0.00
Fallen Askari,Visions,7,0,0.00
Fallow Earth,Mirage,1,0,0.00
Falter,Urza's Saga,4,0,0.00
Fanning the Flames,Stronghold,1,0,0.00
Farrel's Zealot (Ferguson),Fallen Empires,1,0,0.00
Fault Line,Urza's Saga,1,0,0.00
Favorable Destiny,Mirage,1,0,0.00
Fear,Fourth Edition,1,0,0.00
Feast of the Unicorn,Classic Sixth Edition,1,0,0.00
Fecundity,Urza's Saga,1,0,0.00
Feedback,Fourth Edition,1,0,0.00
Feedback,Revised Edition,2,0,0.00
Femeref Archers,Mirage,1,0,0.00
Femeref Healer,Mirage,6,0,0.00
Femeref Knight,Mirage,4,0,0.00
Femeref Scouts,Mirage,4,0,0.00
Feral Instinct,Visions,11,0,0.00
Feral Shadow,Mirage,2,0,0.00
Feral Shadow,Portal,1,0,0.00
Fertile Ground,Urza's Saga,1,0,0.00
Festering Evil,Weatherlight,1,0,0.00
Fetid Horror,Mirage,4,0,0.00
Fevered Convulsions,Tempest,1,0,0.00
Fevered Strength (A),Alliances,1,0,0.00
Field of Souls,Tempest,1,0,0.00
Fiery Mantle,Urza's Saga,1,0,0.00
Fighting Chance,Exodus,1,0,0.00
